,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,maximum_minimum_nights,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,booking_ratio,total_amenities
2215,within a few hours,100,87,t,t,t,East Harlem,Private room in guest suite,Private room,2,1.0,1 private bath,1.0,1.0,130.0,3,14,3.0,4.77,4.92,4.94,4.93,4.19,4.82,f,0.5808219178082191,18
2224,within an hour,100,82,f,t,t,Harlem,Private room in home,Private room,1,1.0,1 private bath,1.0,2.0,225.0,2,5,2.0,5.0,5.0,4.94,5.0,4.88,4.88,f,0.2684931506849315,22
2324,within an hour,100,100,f,t,t,Harlem,Entire townhouse,Entire home/apt,9,2.5,2.5 baths,5.0,6.0,539.0,4,1125,4.0,4.74,4.63,4.95,4.94,4.64,4.67,f,0.2438356164383561,60
2382,within an hour,100,99,f,t,t,Crown Heights,Private room in home,Private room,3,1.0,1 private bath,1.0,2.0,178.0,1,28,1.0,4.64,4.68,4.79,4.59,4.45,4.47,t,0.5945205479452055,42
2386,within a few hours,100,88,t,t,t,Hell's Kitchen,Private room in loft,Private room,2,1.0,1 shared bath,1.0,1.0,170.0,1,1125,1.0,4.97,5.0,4.98,4.98,4.97,4.92,f,0.1972602739726027,62
2393,within a day,100,97,t,t,t,Prospect Heights,Entire guest suite,Entire home/apt,2,1.0,1 bath,1.0,2.0,285.0,3,1125,3.0,4.88,4.72,4.94,4.89,4.92,4.7,f,0.3589041095890411,56
2532,within an hour,100,97,t,t,t,Park Slope,Private room in townhouse,Private room,2,1.0,1 private bath,1.0,1.0,125.0,2,21,2.0,4.89,4.77,4.93,4.96,4.97,4.84,f,0.6657534246575343,36
2675,within an hour,100,99,f,t,t,Crown Heights,Private room in home,Private room,1,1.0,1 private bath,1.0,1.0,139.0,1,28,1.0,4.69,4.79,4.8,4.82,4.65,4.67,t,0.5780821917808219,48
2698,within a few hours,100,99,t,t,t,Harlem,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,185.0,3,1125,3.0,4.88,4.86,4.92,4.95,4.74,4.8,f,0.336986301369863,46
2786,within an hour,100,99,f,t,t,Clinton Hill,Entire home,Entire home/apt,2,1.0,1 bath,1.0,1.0,119.0,1,27,1.0,4.54,4.45,4.82,4.84,4.47,4.53,f,0.6657534246575343,43
2808,within an hour,100,100,t,t,t,Financial District,Private room in loft,Private room,2,1.0,1 shared bath,1.0,1.0,180.0,5,90,5.0,4.97,4.91,4.98,4.99,4.95,4.91,f,0.4684931506849315,28
2831,within an hour,100,100,t,t,t,West Village,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,268.0,2,1125,2.0,4.98,4.95,4.99,4.98,5.0,4.91,f,0.5808219178082191,38
2878,within an hour,100,100,t,t,t,East Harlem,Private room in rental unit,Private room,4,1.0,1 private bath,1.0,2.0,98.0,1,30,2.0,4.87,4.89,4.96,4.95,4.39,4.89,f,0.6027397260273972,32
2983,within an hour,100,99,f,t,t,Crown Heights,Private room in home,Private room,1,1.0,1 private bath,1.0,1.0,161.0,1,28,1.0,4.69,4.82,4.8,4.72,4.6,4.6,t,0.0821917808219178,42
3049,within a day,100,88,t,t,t,Upper East Side,Entire townhouse,Entire home/apt,8,5.0,5 baths,4.0,6.0,784.0,5,90,5.0,4.75,4.59,4.91,4.8,4.91,4.56,f,0.1808219178082191,27
